NGRDI,GLI,BGI,BI,SI,VARI,Canopy Cover,Genotype Rank
PI477036,PI477036,G40111,G40111,PI653254,PI477036,TB_1,Upper
G40037A,PI440801,G40152,TARS_Tep_97,TARS_Tep_64,G40037,PI477036,Upper
G40037,G40237A,G40029,G40177A1,G40177A1,G40037A,G40174,Upper
G40122,PI440805,TARS_Tep_94,G40143,G40013D,G40122,G40128,Upper
PI440801,G40025,TARS_Tep_100,TARS_Tep_64,TARS_Tep-110,TB_1,G40127,Upper
TB_1,Neb_T_15_S,PI477038,G40144,G40177B1,PI440801,G40140,Upper
G40237A,G40037A,G40154,G40152,TL_53S,Neb_T_15_S,G40160,Upper
Neb_T_15_S,G40122,G40143,G40029,PI549447,G40022A,G40037,Upper
G40302,G40302,G40144,G40277,G40276,G40237A,G40057,Upper
G40025,G40043,TARS_Tep_97,TARS_Tep-110,PI535233,TARS_Tep_96,G40141,Upper
G40177A1,G40111,PI477036,G40122,TARS_Tep_96,G40177A1,PI535233,Lower
G40111,G40110,PI653254,PI477036,G40157,G40111,G40111,Lower
G40152,G40152,G40043,G40037,TARS_Tep_94,G40143,G40008,Lower
G40143,G40177A1,PI440801,G40234,Neb_T_6_S,G40152,G40009,Lower
G40144,TARS_Tep_100,PI440805,PI440801,TB_1,G40144,TARS_Tep_103,Lower
G40110,G40029,G40038,G40142,G40140,G40110,W6_32480,Lower
PI535233,TARS_Tep_103,G40302,G40041,PI477038,G40177B1,G40177A1,Lower
G40177B1,G40143,G40237A,Neb_T_6_S,G40153,PI535233,G40119,Lower
TARS_Tep_100,G40144,PI458873,G40037A,G40037A,TARS_Tep_64,G40177B1,Lower
G40029,G40154,G40040,G40025,G40037,G40029,G40300,Lower
